Date,Merchant,Amount,Type,Fraudulent
2024-03-12,BookShop,"31,496",Contactless,False
2024-08-23,Paytm Mall,"1,993",UPI,False
2024-10-25,Zomato,"1,622",Transfer,False
2024-05-18,BookShop,"88,030",POS,False
2024-09-29,Local POS Stall,"3,771",Contactless,False
2023-03-09,Luxury Outlet,"2,487",Contactless,False
2023-05-31,Flipkart,596,Contactless,False
2024-05-01,Flipkart,"1,394",UPI,False
2024-01-07,Unknown Merchant,118,Contactless,True
2024-10-20,Amazon India,"2,120",Online,False
2024-05-16,Amazon India,"3,692",Online,False
2024-08-25,Corner Grocery,"28,675",Online,False
2024-12-15,Suspicious Store,"3,633",Online,False
2024-10-25,Local POS Stall,"1,329",UPI,False
2024-12-25,Amazon India,"3,902",POS,False
2023-09-11,Gold Loan,"1,011",ATM,False
2023-02-07,BigBasket,"46,775",Contactless,False
2023-08-15,BigBasket,"33,553",UPI,False
2024-10-22,Swiggy,"4,074",Online,False
2024-07-09,Flipkart,576,Transfer,False
2023-12-15,Suspicious Store,"3,876",POS,False
2024-12-15,Local POS Stall,109,POS,False
2023-08-19,Subscription - Netflix,"6,230",Online,False
2024-06-17,Axis Bank ATM,"19,859",POS,False
2024-01-18,Jewellery House,"46,165",ATM,False
2023-07-02,Suspicious Store,"1,044",UPI,False
2024-12-03,Hotel Taj,"4,034",Contactless,False
2024-09-01,Subscription - Netflix,315,Online,False
2024-11-04,Suspicious Store,699,POS,False
2024-02-13,Myntra,"19,457",Online,False
2024-04-06,Jewellery House,"4,388",UPI,False
2023-11-03,Utility - Electricity,88,Online,False
2024-12-19,Cinemaplex,"4,092",ATM,False
2023-04-27,Amazon India,"1,340",Online,False
2023-03-19,Suspicious Store,"4,695",Transfer,False
2023-03-05,Recharge Portal,"222,619",POS,False
2023-03-02,Uber,"4,777",Online,False
2023-03-18,Local Electronics Store,"2,903",Online,False
2024-05-14,Uber,"1,180",UPI,False
2023-05-08,Luxury Outlet,655,Online,False
2023-05-26,Hotel Taj,617,Contactless,False
2024-10-20,Zomato,"5,685",POS,False
2024-08-26,Myntra,"2,929",Online,False
2023-08-22,Luxury Outlet,"96,613",ATM,False
2023-12-15,BookShop,"4,353",Online,False
2023-08-18,Cinemaplex,"20,198",Contactless,False
2024-10-15,Utility - Electricity,"24,272",Contactless,False
2023-04-21,IRCTC,"40,175",Contactless,False
2024-11-07,PhonePe,460,UPI,False
2024-08-04,Subscription - Netflix,"11,295",POS,False
2023-08-12,Cinemaplex,"4,268",Online,False
2024-07-28,Luxury Outlet,"4,922",POS,False
2023-05-24,PhonePe,"1,523",UPI,False
2023-02-15,Swiggy,"21,211",UPI,False
2024-06-03,Flipkart,"4,877",Transfer,False
2023-02-02,Ola Cabs,"3,983",POS,False
2024-05-11,SBI ATM,626,POS,False
2024-10-02,Cinemaplex,"4,505",POS,False
2024-02-09,Flipkart,"2,590",POS,False
2023-03-22,Utility - Electricity,"1,933",Online,False
2024-05-25,Utility - Electricity,578,POS,False
2023-03-05,Swiggy,"2,414",Online,False
2024-08-02,Pharmacy Plus,"4,308",Contactless,False
2023-10-03,IRCTC,"4,543",Online,False
2024-10-27,Local Electronics Store,"19,610",POS,False
2023-11-02,Pharmacy Plus,"19,751",ATM,True
2023-04-19,Luxury Outlet,"2,270",POS,False
2024-07-17,IRCTC,"5,441",UPI,False
2023-04-08,Subscription - Spotify,"84,005",POS,False
2023-11-02,Corner Grocery,"4,314",ATM,False
2023-06-16,Designer Boutique,"1,673",Online,False
2023-03-15,Jewellery House,"2,376",Transfer,False
2023-08-24,Pharmacy Plus,"4,262",UPI,False
2024-05-07,Designer Boutique,78,POS,False
2023-04-28,Zomato,"1,048",POS,False
2024-09-21,Luxury Outlet,"19,716",Contactless,False
2024-11-09,Cinemaplex,"2,496",UPI,False
2024-07-06,Paytm Mall,"47,138",Transfer,False
2023-06-27,Flipkart,"2,382",Transfer,False
2024-09-14,Utility - Electricity,335,POS,False
2024-08-31,Flipkart,"3,474",POS,False
2023-01-06,Designer Boutique,"4,758",Transfer,False
2023-11-13,Subscription - Netflix,"1,685",POS,False
2023-07-05,Corner Grocery,"10,501",ATM,False
2023-08-12,Jewellery House,"1,161",UPI,False
2023-10-14,Utility - Electricity,"2,936",Contactless,False
2023-06-17,Recharge Portal,"4,705",ATM,False
2024-07-07,Cinemaplex,"2,773",Online,False
2024-03-20,BigBasket,"4,611",POS,False
2024-12-25,PhonePe,"1,481",Online,False
2023-04-13,Jewellery House,"5,518",Contactless,False
2023-09-12,Suspicious Store,"4,392",UPI,False
2023-04-25,Local POS Stall,"33,684",ATM,False
2024-02-10,Luxury Outlet,"34,621",Online,False
2023-12-06,Pharmacy Plus,"4,050",Online,False
2024-10-08,Subscription - Spotify,"33,343",Online,False
2023-08-05,Amazon India,"46,570",Transfer,False
2024-09-21,Pharmacy Plus,"48,213",ATM,False
2023-08-07,SBI ATM,"18,552",Contactless,False
